region,rank,test_statistic,p_value
1,3,37.045,0.0002
2,3,63.697,0.0
3,3,39.947,0.0001
4,3,43.884,0.0
5,3,31.805,0.0015
6,3,22.326,0.034
7,3,24.576,0.017
8,3,36.188,0.0003
9,3,21.204,0.0475
10,3,19.393,0.0795
11,3,25.737,0.0117
12,3,38.032,0.0002
13,3,42.461,0.0
14,3,52.943,0.0
15,3,31.555,0.0016
16,3,51.02,0.0
17,3,61.85,0.0
18,3,36.433,0.0003
19,3,53.276,0.0
20,3,60.869,0.0
21,3,44.3,0.0
22,3,40.054,0.0001
23,3,42.063,0.0
24,3,47.76,0.0
25,3,32.195,0.0013
26,3,42.454,0.0
27,3,29.448,0.0034
28,3,61.113,0.0
29,3,39.359,0.0001
30,3,38.521,0.0001
31,3,64.231,0.0
32,3,43.683,0.0
33,3,23.788,0.0217
34,3,42.605,0.0
35,3,21.452,0.0441
36,3,27.263,0.0071
37,3,49.669,0.0
38,3,24.47,0.0175
39,3,29.631,0.0032
40,3,41.409,0.0
41,3,55.998,0.0
42,3,17.209,0.1419
43,3,17.696,0.1252
44,3,25.253,0.0137
45,3,52.135,0.0
46,3,49.745,0.0
47,3,35.647,0.0004
48,3,28.648,0.0044
49,3,24.225,0.019
50,3,28.95,0.004
51,3,31.434,0.0017
52,3,31.518,0.0016
53,3,53.284,0.0
54,3,35.927,0.0003
55,3,27.792,0.0059
56,3,42.04,0.0
57,3,34.966,0.0005
58,3,28.943,0.004
59,3,37.508,0.0002
60,3,24.377,0.0181
61,3,39.436,0.0001
62,3,57.945,0.0
63,3,32.688,0.0011
64,3,30.271,0.0025
65,3,43.885,0.0
66,3,31.26,0.0018
67,3,46.975,0.0
68,3,39.662,0.0001
69,3,30.119,0.0027
70,3,37.794,0.0002
71,3,28.052,0.0054
72,3,32.11,0.0013
73,3,42.028,0.0
74,3,21.775,0.0401
75,3,43.96,0.0
76,3,40.167,0.0001
77,3,53.098,0.0
78,3,36.979,0.0002
79,3,31.853,0.0015
80,3,28.974,0.004
81,3,32.176,0.0013
82,3,34.67,0.0005
83,3,19.185,0.0842
84,3,30.283,0.0025
85,3,36.78,0.0002
86,3,19.948,0.0681
87,3,29.674,0.0031
88,3,9.4474,0.6643
89,3,26.688,0.0086
90,3,38.73,0.0001
91,3,45.625,0.0
92,3,39.87,0.0001
93,3,45.367,0.0
94,3,29.43,0.0034
95,3,19.938,0.0683
96,3,27.567,0.0064
97,3,26.342,0.0096
98,3,38.627,0.0001
99,3,54.121,0.0
100,3,56.271,0.0
101,3,79.91,0.0
102,3,34.842,0.0005
103,3,52.522,0.0
104,3,38.568,0.0001
105,3,39.165,0.0001
106,3,40.785,0.0001
107,3,40.8,0.0001
108,3,52.5,0.0
109,3,31.991,0.0014
110,3,58.859,0.0
