region,rank,test_statistic,p_value
1,3,43.308,0.0001
2,3,76.649,0.0
3,3,43.613,0.0001
4,3,49.606,0.0
5,3,46.88,0.0
6,3,24.545,0.0564
7,3,28.543,0.0184
8,3,46.701,0.0
9,3,32.346,0.0058
10,3,25.983,0.0382
11,3,32.006,0.0064
12,3,48.787,0.0
13,3,52.116,0.0
14,3,58.593,0.0
15,3,38.93,0.0007
16,3,58.444,0.0
17,3,82.907,0.0
18,3,39.013,0.0006
19,3,58.046,0.0
20,3,74.533,0.0
21,3,51.8,0.0
22,3,47.801,0.0
23,3,47.618,0.0
24,3,52.777,0.0
25,3,36.302,0.0016
26,3,54.134,0.0
27,3,32.977,0.0047
28,3,64.686,0.0
29,3,45.973,0.0001
30,3,45.636,0.0001
31,3,80.87,0.0
32,3,48.762,0.0
33,3,28.319,0.0197
34,3,48.424,0.0
35,3,23.683,0.0707
36,3,37.125,0.0012
37,3,54.271,0.0
38,3,30.706,0.0096
39,3,32.448,0.0056
40,3,51.254,0.0
41,3,65.375,0.0
42,3,33.308,0.0043
43,3,22.511,0.0951
44,3,29.286,0.0148
45,3,59.155,0.0
46,3,55.137,0.0
47,3,40.168,0.0004
48,3,42.096,0.0002
49,3,25.209,0.0472
50,3,35.064,0.0024
51,3,33.29,0.0043
52,3,46.037,0.0001
53,3,58.435,0.0
54,3,37.589,0.001
55,3,33.709,0.0037
56,3,47.06,0.0
57,3,42.841,0.0002
58,3,42.01,0.0002
59,3,40.006,0.0005
60,3,25.669,0.0416
61,3,46.134,0.0001
62,3,63.019,0.0
63,3,42.154,0.0002
64,3,37.164,0.0012
65,3,49.824,0.0
66,3,31.835,0.0068
67,3,50.261,0.0
68,3,57.465,0.0
69,3,34.999,0.0025
70,3,39.374,0.0006
71,3,28.965,0.0163
72,3,41.219,0.0003
73,3,57.593,0.0
74,3,22.603,0.0929
75,3,46.979,0.0
76,3,57.135,0.0
77,3,56.579,0.0
78,3,46.329,0.0
79,3,44.782,0.0001
80,3,45.114,0.0001
81,3,51.327,0.0
82,3,38.43,0.0008
83,3,41.515,0.0003
84,3,38.249,0.0008
85,3,39.66,0.0005
86,3,29.149,0.0154
87,3,31.71,0.007
88,3,13.874,0.5351
89,3,27.781,0.023
90,3,41.335,0.0003
91,3,58.832,0.0
92,3,52.366,0.0
93,3,50.917,0.0
94,3,42.449,0.0002
95,3,28.06,0.0212
96,3,38.872,0.0007
97,3,43.496,0.0001
98,3,52.913,0.0
99,3,57.699,0.0
100,3,57.219,0.0
101,3,83.641,0.0
102,3,38.536,0.0008
103,3,55.426,0.0
104,3,42.863,0.0002
105,3,42.484,0.0002
106,3,48.64,0.0
107,3,48.725,0.0
108,3,53.956,0.0
109,3,44.215,0.0001
110,3,63.072,0.0
