region,rank,test_statistic,p_value
1,3,77.358,0.0
2,3,76.296,0.0
3,3,58.486,0.0
4,3,79.77,0.0
5,3,47.693,0.0
6,3,55.433,0.0
7,3,45.243,0.0001
8,3,44.083,0.0001
9,3,34.067,0.0033
10,3,42.434,0.0002
11,3,46.923,0.0
12,3,64.444,0.0
13,3,68.253,0.0
14,3,68.111,0.0
15,3,55.26,0.0
16,3,76.649,0.0
17,3,77.759,0.0
18,3,78.241,0.0
19,3,87.415,0.0
20,3,78.711,0.0
21,3,69.079,0.0
22,3,48.898,0.0
23,3,66.024,0.0
24,3,61.174,0.0
25,3,46.693,0.0
26,3,92.112,0.0
27,3,50.058,0.0
28,3,66.052,0.0
29,3,65.781,0.0
30,3,60.807,0.0
31,3,90.558,0.0
32,3,77.889,0.0
33,3,38.935,0.0007
34,3,62.284,0.0
35,3,38.451,0.0008
36,3,72.386,0.0
37,3,60.453,0.0
38,3,34.843,0.0026
39,3,46.837,0.0
40,3,64.59,0.0
41,3,71.911,0.0
42,3,56.319,0.0
43,3,29.15,0.0154
44,3,35.136,0.0024
45,3,51.439,0.0
46,3,58.246,0.0
47,3,43.914,0.0001
48,3,51.405,0.0
49,3,38.061,0.0009
50,3,37.892,0.0009
51,3,32.174,0.0061
52,3,53.691,0.0
53,3,62.627,0.0
54,3,53.543,0.0
55,3,48.071,0.0
56,3,75.981,0.0
57,3,50.004,0.0
58,3,58.55,0.0
59,3,62.052,0.0
60,3,53.305,0.0
61,3,42.977,0.0002
62,3,73.55,0.0
63,3,41.961,0.0002
64,3,34.445,0.0029
65,3,95.336,0.0
66,3,50.691,0.0
67,3,87.291,0.0
68,3,81.875,0.0
69,3,41.405,0.0003
70,3,48.975,0.0
71,3,59.35,0.0
72,3,66.081,0.0
73,3,72.182,0.0
74,3,24.943,0.0507
75,3,55.133,0.0
76,3,70.778,0.0
77,3,66.269,0.0
78,3,95.223,0.0
79,3,64.978,0.0
80,3,60.71,0.0
81,3,59.23,0.0
82,3,48.068,0.0
83,3,66.841,0.0
84,3,52.299,0.0
85,3,55.858,0.0
86,3,60.975,0.0
87,3,45.07,0.0001
88,3,34.826,0.0026
89,3,32.831,0.005
90,3,52.869,0.0
91,3,70.637,0.0
92,3,58.652,0.0
93,3,55.545,0.0
94,3,49.344,0.0
95,3,33.434,0.0041
96,3,51.089,0.0
97,3,55.711,0.0
98,3,58.147,0.0
99,3,61.155,0.0
100,3,70.394,0.0
101,3,79.462,0.0
102,3,49.104,0.0
103,3,62.949,0.0
104,3,52.745,0.0
105,3,65.517,0.0
106,3,57.558,0.0
107,3,52.749,0.0
108,3,63.426,0.0
109,3,42.45,0.0002
110,3,75.76,0.0
