region,rank,test_statistic,p_value
1,3,75.136,0.0
2,3,55.487,0.0
3,3,51.754,0.0
4,3,79.227,0.0
5,3,40.369,0.0002
6,3,51.854,0.0
7,3,39.341,0.0003
8,3,43.327,0.0001
9,3,32.661,0.0032
10,3,42.414,0.0001
11,3,46.406,0.0
12,3,64.356,0.0
13,3,68.241,0.0
14,3,66.662,0.0
15,3,42.926,0.0001
16,3,70.542,0.0
17,3,73.646,0.0
18,3,69.311,0.0
19,3,78.843,0.0
20,3,65.555,0.0
21,3,68.864,0.0
22,3,47.569,0.0
23,3,65.473,0.0
24,3,57.93,0.0
25,3,45.008,0.0
26,3,80.263,0.0
27,3,49.305,0.0
28,3,64.826,0.0
29,3,62.809,0.0
30,3,56.765,0.0
31,3,90.5,0.0
32,3,75.487,0.0
33,3,38.201,0.0005
34,3,59.995,0.0
35,3,33.979,0.0021
36,3,61.623,0.0
37,3,47.327,0.0
38,3,34.321,0.0019
39,3,42.697,0.0001
40,3,52.899,0.0
41,3,60.03,0.0
42,3,39.29,0.0003
43,3,28.824,0.011
44,3,32.618,0.0033
45,3,48.298,0.0
46,3,56.016,0.0
47,3,39.547,0.0003
48,3,42.642,0.0001
49,3,37.33,0.0007
50,3,33.014,0.0029
51,3,31.862,0.0042
52,3,43.104,0.0001
53,3,61.482,0.0
54,3,52.873,0.0
55,3,46.51,0.0
56,3,74.225,0.0
57,3,45.051,0.0
58,3,56.678,0.0
59,3,60.289,0.0
60,3,53.263,0.0
61,3,40.213,0.0002
62,3,69.728,0.0
63,3,38.024,0.0005
64,3,31.313,0.005
65,3,95.321,0.0
66,3,50.523,0.0
67,3,76.834,0.0
68,3,72.54,0.0
69,3,39.373,0.0003
70,3,48.553,0.0
71,3,59.281,0.0
72,3,64.815,0.0
73,3,54.456,0.0
74,3,24.411,0.0408
75,3,41.059,0.0002
76,3,66.635,0.0
77,3,50.952,0.0
78,3,92.813,0.0
79,3,63.461,0.0
80,3,58.504,0.0
81,3,41.568,0.0001
82,3,44.245,0.0001
83,3,62.174,0.0
84,3,52.281,0.0
85,3,55.152,0.0
86,3,59.358,0.0
87,3,43.731,0.0001
88,3,33.406,0.0025
89,3,28.127,0.0137
90,3,52.865,0.0
91,3,70.556,0.0
92,3,47.347,0.0
93,3,49.988,0.0
94,3,44.304,0.0001
95,3,29.433,0.0091
96,3,43.159,0.0001
97,3,44.822,0.0
98,3,45.57,0.0
99,3,60.819,0.0
100,3,70.127,0.0
101,3,73.394,0.0
102,3,44.31,0.0001
103,3,61.826,0.0
104,3,51.236,0.0
105,3,64.255,0.0
106,3,49.921,0.0
107,3,50.678,0.0
108,3,63.254,0.0
109,3,42.449,0.0001
110,3,75.619,0.0
