region,rank,test_statistic,p_value
1,3,74.38,0.0
2,3,55.118,0.0
3,3,51.316,0.0
4,3,76.163,0.0
5,3,38.221,0.0001
6,3,49.109,0.0
7,3,37.909,0.0002
8,3,40.683,0.0001
9,3,32.07,0.0013
10,3,40.96,0.0
11,3,41.886,0.0
12,3,54.442,0.0
13,3,68.11,0.0
14,3,63.547,0.0
15,3,42.405,0.0
16,3,69.79,0.0
17,3,56.642,0.0
18,3,68.166,0.0
19,3,78.759,0.0
20,3,57.205,0.0
21,3,66.344,0.0
22,3,45.869,0.0
23,3,61.842,0.0
24,3,55.698,0.0
25,3,44.94,0.0
26,3,78.819,0.0
27,3,48.722,0.0
28,3,63.41,0.0
29,3,61.559,0.0
30,3,55.801,0.0
31,3,76.894,0.0
32,3,72.324,0.0
33,3,32.933,0.001
34,3,58.116,0.0
35,3,33.243,0.0009
36,3,61.242,0.0
37,3,46.924,0.0
38,3,32.284,0.0013
39,3,42.694,0.0
40,3,51.789,0.0
41,3,56.318,0.0
42,3,37.977,0.0002
43,3,28.605,0.0045
44,3,30.542,0.0023
45,3,44.39,0.0
46,3,55.403,0.0
47,3,39.39,0.0001
48,3,38.704,0.0001
49,3,36.107,0.0003
50,3,32.019,0.0014
51,3,31.854,0.0015
52,3,40.354,0.0001
53,3,58.697,0.0
54,3,52.226,0.0
55,3,44.839,0.0
56,3,74.052,0.0
57,3,41.818,0.0
58,3,53.926,0.0
59,3,59.894,0.0
60,3,51.95,0.0
61,3,37.125,0.0002
62,3,66.572,0.0
63,3,37.636,0.0002
64,3,31.281,0.0018
65,3,91.429,0.0
66,3,50.337,0.0
67,3,76.357,0.0
68,3,65.312,0.0
69,3,38.322,0.0001
70,3,47.591,0.0
71,3,59.162,0.0
72,3,61.4,0.0
73,3,50.984,0.0
74,3,23.331,0.025
75,3,39.281,0.0001
76,3,59.825,0.0
77,3,50.17,0.0
78,3,85.678,0.0
79,3,61.101,0.0
80,3,52.124,0.0
81,3,39.062,0.0001
82,3,42.018,0.0
83,3,56.875,0.0
84,3,41.588,0.0
85,3,53.091,0.0
86,3,55.355,0.0
87,3,42.452,0.0
88,3,30.571,0.0023
89,3,26.847,0.0081
90,3,51.021,0.0
91,3,57.593,0.0
92,3,45.741,0.0
93,3,49.591,0.0
94,3,43.533,0.0
95,3,28.733,0.0043
96,3,41.518,0.0
97,3,39.104,0.0001
98,3,45.367,0.0
99,3,57.92,0.0
100,3,69.325,0.0
101,3,72.748,0.0
102,3,44.108,0.0
103,3,59.9,0.0
104,3,50.373,0.0
105,3,64.112,0.0
106,3,49.556,0.0
107,3,45.607,0.0
108,3,63.135,0.0
109,3,39.644,0.0001
110,3,75.473,0.0
