region,rank,test_statistic,p_value
1,3,36.657,0.0
2,3,31.874,0.0001
3,3,22.304,0.0044
4,3,22.39,0.0042
5,3,17.872,0.0222
6,3,22.233,0.0045
7,3,22.977,0.0034
8,3,26.134,0.001
9,3,27.684,0.0005
10,3,13.975,0.0824
11,3,22.718,0.0037
12,3,31.28,0.0001
13,3,34.839,0.0
14,3,22.915,0.0035
15,3,25.727,0.0012
16,3,34.49,0.0
17,3,38.299,0.0
18,3,39.658,0.0
19,3,30.441,0.0002
20,3,39.769,0.0
21,3,41.135,0.0
22,3,29.245,0.0003
23,3,31.489,0.0001
24,3,30.284,0.0002
25,3,29.32,0.0003
26,3,50.463,0.0
27,3,28.883,0.0003
28,3,42.279,0.0
29,3,36.982,0.0
30,3,40.867,0.0
31,3,24.806,0.0017
32,3,33.391,0.0001
33,3,16.511,0.0356
34,3,48.867,0.0
35,3,12.645,0.1247
36,3,45.832,0.0
37,3,35.78,0.0
38,3,22.455,0.0041
39,3,35.426,0.0
40,3,28.217,0.0004
41,3,32.635,0.0001
42,3,24.686,0.0018
43,3,23.517,0.0028
44,3,16.358,0.0375
45,3,37.174,0.0
46,3,19.468,0.0125
47,3,25.469,0.0013
48,3,26.242,0.001
49,3,25.062,0.0015
50,3,25.264,0.0014
51,3,21.795,0.0053
52,3,29.996,0.0002
53,3,42.882,0.0
54,3,37.222,0.0
55,3,31.79,0.0001
56,3,36.068,0.0
57,3,21.629,0.0057
58,3,35.326,0.0
59,3,33.95,0.0
60,3,30.268,0.0002
61,3,21.333,0.0063
62,3,38.193,0.0
63,3,25.828,0.0011
64,3,24.876,0.0016
65,3,48.732,0.0
66,3,12.925,0.1145
67,3,30.239,0.0002
68,3,51.15,0.0
69,3,17.272,0.0274
70,3,31.264,0.0001
71,3,39.799,0.0
72,3,26.114,0.001
73,3,42.388,0.0
74,3,12.176,0.1435
75,3,19.592,0.012
76,3,30.133,0.0002
77,3,34.765,0.0
78,3,32.02,0.0001
79,3,24.503,0.0019
80,3,31.388,0.0001
81,3,31.76,0.0001
82,3,29.489,0.0003
83,3,10.42,0.2368
84,3,32.212,0.0001
85,3,28.398,0.0004
86,3,23.603,0.0027
87,3,28.837,0.0003
88,3,17.263,0.0275
89,3,13.495,0.0959
90,3,26.189,0.001
91,3,34.947,0.0
92,3,34.075,0.0
93,3,32.051,0.0001
94,3,33.239,0.0001
95,3,23.012,0.0033
96,3,32.353,0.0001
97,3,23.504,0.0028
98,3,36.063,0.0
99,3,26.716,0.0008
100,3,42.619,0.0
101,3,43.965,0.0
102,3,24.741,0.0017
103,3,32.635,0.0001
104,3,26.394,0.0009
105,3,31.119,0.0001
106,3,42.479,0.0
107,3,31.633,0.0001
108,3,35.184,0.0
109,3,24.382,0.002
110,3,43.359,0.0
